"","name","longitude","latitude","scientificName","genus","species","dateIdentified","elevation","stateProvince","year","month","day","eventDate","countryCode","eventTime","endDayOfYear"
"311","Aeshna cyanea",2.81214,43.09854,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-28T19:07:55",NA,"Languedoc-Roussillon",2020,7,28,2020-07-28,"FR","19:06:34Z",NA
"318","Aeshna cyanea",12.915754,50.760349,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-29T10:49:30",NA,"Sachsen",2020,7,29,2020-07-29,"DE","09:45:04Z",NA
"322","Aeshna cyanea",12.74901,47.758879,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-27T10:35:05",NA,"Bayern",2020,7,27,2020-07-27,"DE","08:55:00Z",NA
"323","Aeshna cyanea",8.543307,50.166109,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-30T18:02:27",NA,"Hessen",2020,7,30,2020-07-30,"DE","15:10:00Z",NA
"325","Aeshna cyanea",9.632604,45.772828,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-29T17:16:18",NA,"Lombardia",2020,7,29,2020-07-29,"IT","11:14:00Z",NA
"430","Aeshna cyanea",5.164751,52.222255,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-30T15:11:56",NA,"Noord-Holland",2020,7,17,2020-07-17,"NL",NA,NA
"441","Aeshna cyanea",7.019156,47.757202,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-09-07T20:10:15",NA,"Alsace",2020,7,19,2020-07-19,"FR","15:35:03Z",NA
"901","Aeshna cyanea",4.783411,50.629879,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-03T23:59:16",NA,"Wallonie",2020,8,3,2020-08-03,"BE","12:56:00Z",NA
"902","Aeshna cyanea",8.245464,49.993543,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-04T18:05:31",NA,"Rheinland-Pfalz",2020,8,4,2020-08-04,"DE","15:21:00Z",NA
"905","Aeshna cyanea",8.245703,49.993488,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-04T18:05:31",NA,"Rheinland-Pfalz",2020,8,4,2020-08-04,"DE","15:03:00Z",NA
"907","Aeshna cyanea",-1.745752,48.206964,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-15T22:46:23",NA,"Bretagne",2020,8,11,2020-08-11,"FR","16:04:00Z",NA
"908","Aeshna cyanea",4.783409,50.629823,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-13T21:43:49",NA,"Wallonie",2020,8,13,2020-08-13,"BE","13:14:00Z",NA
"910","Aeshna cyanea",9.835473,54.698457,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-16T18:59:07",NA,"Schleswig-Holstein",2020,8,16,2020-08-16,"DE","17:17:59Z",NA
"913","Aeshna cyanea",11.362413,48.193046,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-06T16:14:11",NA,"Bayern",2020,8,5,2020-08-05,"DE","08:14:00Z",NA
"914","Aeshna cyanea",10.690563,45.859363,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea",NA,NA,"Trentino-Alto Adige",2020,8,9,2020-08-09,"IT","13:35:25Z",NA
"917","Aeshna cyanea",10.716688,44.227206,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-09T12:34:45",NA,"Emilia-Romagna",2020,8,9,2020-08-09,"IT","12:18:55Z",NA
"918","Aeshna cyanea",9.869745,52.321527,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-09T16:15:39",NA,"Niedersachsen",2020,8,9,2020-08-09,"DE",NA,NA
"921","Aeshna cyanea",11.75198,48.419829,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-09T08:50:37",NA,"Bayern",2020,8,9,2020-08-09,"DE","08:46:38Z",NA
"926","Aeshna cyanea",9.637665,45.773939,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-06T18:31:49",NA,"Lombardia",2020,8,6,2020-08-06,"IT","15:22:00Z",NA
