"","species","scientificName","longitude","latitude","elevation","countryCode","stateProvince","day","month","year","eventDate","endDayOfYear"
"972","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.749001,47.758898,NA,"DE","Bayern",19,8,2020,2020-08-19,NA
"979","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.230567,51.040473,NA,"DE","Thüringen",17,8,2020,2020-08-17,NA
"986","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.013699,48.812367,NA,"AT","Niederösterreich",20,8,2020,2020-08-20,NA
"1003","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.689263,45.857712,NA,"IT","Trentino-Alto Adige",8,8,2020,2020-08-08,NA
"1007","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.565775,53.274962,NA,"DE","Niedersachsen",15,8,2020,2020-08-15,NA
"1008","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.632932,46.990442,NA,"IT","Trentino-Alto Adige",8,8,2020,2020-08-08,NA
"1029","Aeshna cyanea","Aeshna cyanea Müller, 1764",16.224892,48.115545,NA,"AT","Niederösterreich",20,8,2020,2020-08-20,NA
"1033","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.462367,48.150772,NA,"DE","Bayern",9,8,2020,2020-08-09,NA
"1034","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.79682,46.620552,NA,"IT","Trentino-Alto Adige",7,8,2020,2020-08-07,NA
"1044","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.706822,50.741647,NA,"DE","Rheinland-Pfalz",17,8,2020,2020-08-17,NA
"1045","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.586533,48.903,NA,"DE","Baden-Württemberg",7,8,2020,2020-08-07,NA
"1050","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.077356,47.513583,NA,"AT","Steiermark",19,8,2020,2020-08-19,NA
"1057","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.087807,49.323819,NA,"DE","Saarland",17,8,2020,2020-08-17,NA
"1066","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.913564,51.689078,NA,"DE","Niedersachsen",19,8,2020,2020-08-19,NA
"1071","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.24211,49.991659,NA,"DE","Rheinland-Pfalz",15,8,2020,2020-08-15,NA
"1077","Aeshna cyanea","Aeshna cyanea Müller, 1764",-1.698,47.893295,NA,"FR","Bretagne",9,8,2020,2020-08-09,NA
"1186","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.14557,46.072594,NA,"IT","Trentino-Alto Adige",26,8,2020,2020-08-26,NA
"1188","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.914441,51.988739,NA,"NL","Gelderland",21,8,2020,2020-08-21,NA
"1189","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.850371,49.95476,NA,"BE","Wallonie",22,8,2020,2020-08-22,NA
"1192","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.993283,47.601945,NA,"AT","Steiermark",23,8,2020,2020-08-23,NA
"1194","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.362398,48.193053,NA,"DE","Bayern",5,8,2020,2020-08-05,NA
"1195","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.293716,51.406071,NA,"DE","Sachsen",9,8,2020,2020-08-09,NA
"1198","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.013657,48.812205,NA,"AT","Niederösterreich",21,8,2020,2020-08-21,NA
"1201","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.919966,50.023568,NA,"DE","Hessen",23,8,2020,2020-08-23,NA
"1211","Aeshna cyanea","Aeshna cyanea Müller, 1764",6.101837,49.996044,NA,"LU","Diekirch",26,8,2020,2020-08-26,NA
"1215","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.882427,46.92009,NA,"AT","Steiermark",27,8,2020,2020-08-27,NA
"1216","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.818115,52.33408,NA,"DE","Niedersachsen",22,8,2020,2020-08-22,NA
"1217","Aeshna cyanea","Aeshna cyanea Müller, 1764",6.964185,51.165218,NA,"DE","Nordrhein-Westfalen",10,8,2020,2020-08-10,NA
"1225","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.112227,47.948536,NA,"DE","Bayern",27,8,2020,2020-08-27,NA
"1226","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.840479,49.981544,NA,"BE","Wallonie",22,8,2020,2020-08-22,NA
"1229","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.242254,49.990425,NA,"DE","Rheinland-Pfalz",23,8,2020,2020-08-23,NA
"1233","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.826611,49.982603,NA,"BE","Wallonie",22,8,2020,2020-08-22,NA
"1235","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.240548,46.904162,NA,"AT","Steiermark",23,8,2020,2020-08-23,NA
"1238","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.598608,52.448495,NA,"NL","Noord-Holland",27,8,2020,2020-08-27,NA
"1239","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.733958,49.642753,NA,"DE","Hessen",8,8,2020,2020-08-08,NA
"1241","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.595802,51.713056,NA,"DE","Niedersachsen",20,8,2020,2020-08-20,NA
"1248","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.632187,50.958725,NA,"BE","Vlaanderen",21,8,2020,2020-08-21,NA
"1249","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.767025,49.785305,NA,"DE","Rheinland-Pfalz",8,8,2020,2020-08-08,NA
"1256","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.013657,48.812205,NA,"AT","Niederösterreich",21,8,2020,2020-08-21,NA
"1258","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.38649,47.797626,NA,"AT","Oberösterreich",25,8,2020,2020-08-25,NA
"1260","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.697286,45.731061,NA,"IT","Lombardia",9,8,2020,2020-08-09,NA
"1302","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.536654,40.907539,NA,"IT","Basilicata",20,8,2020,2020-08-20,NA
"1309","Aeshna cyanea","Aeshna cyanea Müller, 1764",2.40079,48.62548,NA,"FR","Île-de-France",30,8,2020,2020-08-30,NA
"1310","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.473768,52.505939,NA,"DE","Brandenburg",29,8,2020,2020-08-29,NA
"1316","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.773341,47.012314,NA,"AT","Steiermark",30,8,2020,2020-08-30,NA
"1317","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.811566,47.963376,NA,"DE","Baden-Württemberg",29,8,2020,2020-08-29,NA
"1325","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.556681,45.63498,NA,"IT","Lombardia",31,8,2020,2020-08-31,NA
"1353","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.998245,47.297413,NA,"FR","Franche-Comté",7,8,2020,2020-08-07,NA
"1444","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.656852,45.769875,NA,"IT","Lombardia",1,9,2020,2020-09-01,NA
