"","species","scientificName","longitude","latitude","elevation","countryCode","stateProvince","day","month","year","eventDate","endDayOfYear"
"1649","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.661856,45.761765,NA,"IT","Lombardia",17,9,2020,2020-09-17,NA
"1658","Aeshna cyanea","Aeshna cyanea Müller, 1764",-2.860399,47.705402,NA,"FR","Bretagne",15,9,2020,2020-09-15,NA
"1662","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.113566,45.870962,NA,"IT","Lombardia",13,9,2020,2020-09-13,NA
"1898","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.692972,47.921276,NA,"DE",NA,8,6,2019,2019-06-08,NA
"2011","Aeshna cyanea","Aeshna cyanea Müller, 1764",0.327881,47.240375,NA,"FR",NA,30,6,2019,2019-06-30,NA
"2048","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.07269,47.803727,NA,"AT",NA,22,6,2019,2019-06-22,NA
"2058","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.244906,46.68844,NA,"AT",NA,16,6,2019,2019-06-16,NA
"2066","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.053998,47.613304,NA,"DE",NA,25,6,2019,2019-06-25,NA
"2092","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.24,46.69,NA,"AT",NA,16,6,2019,2019-06-16,NA
"2127","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.279612,47.383705,NA,"AT",NA,1,7,2019,2019-07-01,NA
"2183","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.639766,47.359833,NA,"AT",NA,18,7,2019,2019-07-18,NA
"2210","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.762017,47.171754,NA,"AT","Steiermark",18,7,2019,2019-07-18,NA
"2239","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.639766,47.359833,NA,"AT",NA,22,7,2019,2019-07-22,NA
"2258","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.648995,47.335625,NA,"AT",NA,24,7,2019,2019-07-24,NA
"2261","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.279612,47.383705,NA,"AT",NA,22,7,2019,2019-07-22,NA
"2267","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.976028,47.456184,NA,"DE",NA,20,7,2019,2019-07-20,NA
"2311","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.892035,46.022036,NA,"IT","Lombardia",29,7,2019,2019-07-29,NA
"2312","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.749053,47.75887,NA,"DE","Bayern",30,7,2019,2019-07-30,NA
"2316","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.889889,46.022832,NA,"IT","Lombardia",29,7,2019,2019-07-29,NA
"2317","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.173741,46.026461,NA,"IT","Lombardia",27,7,2019,2019-07-27,NA
"2392","Aeshna cyanea","Aeshna cyanea Müller, 1764",2.49309,46.60611,NA,"FR",NA,17,7,2019,2019-07-17,NA
"2393","Aeshna cyanea","Aeshna cyanea Müller, 1764",2.2833,47.32292,110,"FR",NA,29,7,2019,2019-07-29,NA
"2405","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.776522,47.963379,NA,"AT","Niederösterreich",11,7,2019,2019-07-11,NA
"2481","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.154534,47.849262,NA,"AT",NA,23,7,2019,2019-07-23,NA
"2482","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.99241,46.415802,NA,"SI",NA,22,7,2019,2019-07-22,NA
"2518","Aeshna cyanea","Aeshna cyanea Müller, 1764",3.609734,44.34499,NA,"FR",NA,31,7,2019,2019-07-31,NA
"2530","Aeshna cyanea","Aeshna cyanea Müller, 1764",3.415484,44.270786,NA,"FR",NA,30,7,2019,2019-07-30,NA
"2545","Aeshna cyanea","Aeshna cyanea Müller, 1764",3.415295,44.270611,NA,"FR",NA,30,7,2019,2019-07-30,NA
"2574","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.930809,47.828571,NA,"DE",NA,21,7,2019,2019-07-21,NA
"2579","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.119105,47.662766,NA,"AT",NA,19,7,2019,2019-07-19,NA
"2583","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.162495,47.836838,NA,"AT",NA,25,7,2019,2019-07-25,NA
"2629","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.093967,47.89735,NA,"AT",NA,22,7,2019,2019-07-22,NA
"2702","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.06194,47.829709,NA,"AT",NA,30,7,2019,2019-07-30,NA
"2754","Aeshna cyanea","Aeshna cyanea Müller, 1764",3.607469,44.346095,NA,"FR",NA,28,7,2019,2019-07-28,NA
"2775","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.99241,46.415802,NA,"SI",NA,22,7,2019,2019-07-22,NA
"2796","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.029873,47.797939,NA,"AT",NA,19,7,2019,2019-07-19,NA
"2828","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.776799,47.421173,NA,"AT",NA,30,7,2019,2019-07-30,NA
"2845","Aeshna cyanea","Aeshna cyanea Müller, 1764",3.602726,44.34537,NA,"FR",NA,27,7,2019,2019-07-27,NA
"2863","Aeshna cyanea","Aeshna cyanea Müller, 1764",0.20151,47.372513,NA,"FR",NA,12,7,2019,2019-07-12,NA
"2864","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.99241,46.415802,NA,"SI",NA,22,7,2019,2019-07-22,NA
"2919","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.21,47.35,672,"AT",NA,29,7,2019,2019-07-29,NA
"2920","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.61,47.1,1068,"AT",NA,17,7,2019,2019-07-17,NA
"2924","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.16,47.84,NA,"AT",NA,25,7,2019,2019-07-25,NA
"2925","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.52,47.39,821,"AT",NA,17,7,2019,2019-07-17,NA
"2938","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.705429,47.641361,NA,"DE",NA,2,8,2019,2019-08-02,NA
"3033","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.144203,46.584457,NA,"AT",NA,3,8,2019,2019-08-03,NA
"3034","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.822502,47.987274,NA,"DE",NA,4,8,2019,2019-08-04,NA
"3046","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.461038,47.781242,NA,"DE",NA,4,8,2019,2019-08-04,NA
"3121","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.749067,47.758852,NA,"DE","Bayern",5,8,2019,2019-08-05,NA
"3124","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.804991,47.803517,NA,"AT","Oberösterreich",5,8,2019,2019-08-05,NA
"3133","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.74908,47.758831,NA,"DE","Bayern",7,8,2019,2019-08-07,NA
"3137","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.74911,47.758854,NA,"DE","Bayern",8,8,2019,2019-08-08,NA
"3138","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.749019,47.758883,NA,"DE","Bayern",8,8,2019,2019-08-08,NA
"3239","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.369898,47.507442,NA,"DE",NA,4,8,2019,2019-08-04,NA
"3307","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.978198,47.823578,NA,"DE",NA,11,8,2019,2019-08-11,NA
"3347","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.187166,47.687733,NA,"DE",NA,4,8,2019,2019-08-04,NA
"3394","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.811973,47.975227,NA,"DE",NA,9,8,2019,2019-08-09,NA
"3399","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.147738,47.842678,NA,"DE",NA,18,8,2019,2019-08-18,NA
"3421","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.329523,43.645584,NA,"IT",NA,18,8,2019,2019-08-18,NA
"3458","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.823319,47.987305,NA,"DE",NA,7,8,2019,2019-08-07,NA
"3466","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.02217,47.858509,NA,"DE",NA,14,8,2019,2019-08-14,NA
"3471","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.581207,47.423443,NA,"AT",NA,5,8,2019,2019-08-05,NA
"3489","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.672623,47.441589,NA,"AT",NA,3,8,2019,2019-08-03,NA
"3531","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.557617,46.580101,NA,"IT",NA,15,8,2019,2019-08-15,NA
"3534","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.823142,47.987339,NA,"DE",NA,5,8,2019,2019-08-05,NA
"3536","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.589851,47.726295,NA,"DE",NA,11,8,2019,2019-08-11,NA
"3552","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.576442,47.39687,NA,"AT",NA,5,8,2019,2019-08-05,NA
"3579","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.298631,47.995327,NA,"DE",NA,9,8,2019,2019-08-09,NA
"3587","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.749013,47.758904,NA,"DE","Bayern",9,8,2019,2019-08-09,NA
"3602","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.885918,45.80595,NA,"FR","Rhône-Alpes",12,8,2019,2019-08-12,NA
"3608","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.005783,45.934825,NA,"IT","Lombardia",13,8,2019,2019-08-13,NA
"3615","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.74909,47.758849,NA,"DE","Bayern",14,8,2019,2019-08-14,NA
"3696","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.900145,45.337123,NA,"IT","Piemonte",18,8,2019,2019-08-18,NA
"3702","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.181414,46.139968,NA,"IT","Veneto",19,8,2019,2019-08-19,NA
"3708","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.86904,46.199296,NA,"IT","Trentino-Alto Adige",18,8,2019,2019-08-18,NA
"3710","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.868518,46.199249,NA,"IT","Trentino-Alto Adige",20,8,2019,2019-08-20,NA
"3713","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.668382,43.614842,NA,"IT","Marche",21,8,2019,2019-08-21,NA
"3715","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.866418,45.537504,NA,"IT","Veneto",11,8,2019,2019-08-11,NA
"3724","Aeshna cyanea","Aeshna cyanea Müller, 1764",6.176027,46.810932,NA,"FR",NA,24,8,2019,2019-08-24,NA
"3769","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.279612,47.383705,NA,"AT",NA,19,8,2019,2019-08-19,NA
"3946","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.035995,45.431679,NA,"IT","Veneto",24,8,2019,2019-08-24,NA
"3955","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.11615,45.762087,NA,"IT","Lombardia",25,8,2019,2019-08-25,NA
"3963","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.749035,47.758874,NA,"DE","Bayern",27,8,2019,2019-08-27,NA
"3967","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.553315,45.730434,NA,"IT","Piemonte",29,8,2019,2019-08-29,NA
"4000","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.285432,45.829316,NA,"IT","Valle d'Aosta",30,8,2019,2019-08-30,NA
"4005","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.04706,45.691749,NA,"IT","Lombardia",23,8,2019,2019-08-23,NA
"4017","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.865349,46.711163,NA,"AT","Kärnten",15,8,2019,2019-08-15,NA
